รหัสวิชา,ชื่อรายวิชา,Credit,หน่วยกิต,หมวดวิชา,คำอธิบายรายวิชาภาษาไทย,คำอธิบายรายวิชาภาษาอังกฤษ,
EN-013-313,เครือข่ายเซ็นเซอร์ไร้สาย,3,3(3-0-6),วิชาชีพเลือก,กลุ่มวิชาโครงสร้างพื้นฐานและระบบเครือข่าย,พื้นฐานของเทคโนโลยีเครือข่ายไร้สายและเครือข่ายเซนเซอร์แบบกระจาย การออกแบบเซนเซอร์พลังงานต่ำ การส่งผ่านข้อมูลผ่านเครือข่ายไร้สาย การทำงานและการตรวจสอบด้านสิ่งแวดล้อมด้วยเซนเซอร์ การเฝ้าระวังภาคสนาม ระบบอัตโนมัติภายในบ้าน การตรวจสอบทางการแพทย์ด้วยเซนเซอร์,"Introduction to wireless network technology and distributed sensor network; low power sensor design, data transmission of the wireless network; operation and environmental monitoring with sensors; field surveillance; home automation and medical monitoring by sensors"
EN-013-314,การออกแบบและติดตั้งระบบในองค์กร,3,3(3-0-6),วิชาชีพเลือก,กลุ่มวิชาโครงสร้างพื้นฐานและระบบเครือข่าย,"การออกแบบและการวางแผนโครงสร้างพื้นฐานของระบบเทคโนโลยีสารสนเทศภายในองค์กรสมัยใหม่ ความปลอดภัยของระบบและความพร้อมให้บริการ การตรวจสอบแบบอัตโนมัติ การจัดหาโซลูชั่นและสิ่งสนับสนุนสำหรับองค์กร ศึกษาวิธีการทำงานของระบบพื้นฐานและการติดตั้ง ได้แก่ ระบบจัดเก็บข้อมูล ระบบการให้บริการด้านเครือข่าย (DNS Server, DHCP Server, Mail Server, Virtual Private Network) และการบริการแบบกระจาย","Design and planning of information system infrastructure in a modern enterprise; security system and availability; automatic inspection; providing solution and support for the enterprise; study of a basic system installation, network services (DNS Server, DHCP Server, Mail Server, Virtual Private Network) and distributed services"
EN-013-315,ความปลอดภัยเครือข่ายในองค์กร,3,3(2-2-5),วิชาชีพเลือก,กลุ่มวิชาโครงสร้างพื้นฐานและระบบเครือข่าย,การเข้ารหัสและถอดรหัสแบบต่างๆ ที่ใช้ในระบบคอมพิวเตอร์และระบบเครือข่ายในองค์กร การเข้ารหัสแบบบล็อค การเข้ารหัสแบบสุ่ม แฮชฟังก์ชัน การอนุญาตให้เข้าใช้ระบบ การเข้ารหัสเพื่อควบคุมการอนุญาตให้เข้าใช้ระบบ รหัสลายเซ็นดิจิตอล การป้องกันการเข้าเจาะระบบโดยผู้ไม่ประสงค์ดี,Various encryption and decryption in a computer system and network in enterprises; block encryption; random encryption; hash function system authorization and encryption for access control; digital signature code; protection accessing by hackers
EN-013-316,การประมวลผลคลาวด์,3,3(2-2-5),วิชาชีพเลือก,กลุ่มวิชาโครงสร้างพื้นฐานและระบบเครือข่าย,ภาพรวมและพื้นฐานของการประมวลผลคลาวด์ เทคโนโลยีและตัวอย่างการใช้โครงสร้างการประมวลผลคลาวด์ สถาปัตยกรรมโครงสร้างระบบคลาวด์ การออกแบบและวางแผน ปัจจัยและความจำเป็นของการให้บริการระบบคลาวด์ รูปแบบคลาวด์ต่างๆ ได้แก่ ฮาร์ดแวร์ ซอฟต์แวร์ โครงสร้างพื้นฐาน ความปลอดภัยในระบบคลาวด์,"Introduction to cloud computing, technologies and applications of cloud computing infrastructure; cloud computing architecture; design and planning; factors and necessities of cloud services; types of cloud computing including hardware, software, infrastructure and security"
EN-013-317,การเขียนโปรแกรมบนเครือข่ายคอมพิวเตอร์,3,3(2-2-5),วิชาชีพเลือก,กลุ่มวิชาโครงสร้างพื้นฐานและระบบเครือข่าย,การเขียนโปรแกรมเพื่อติดต่อระหว่างโพรเซส เทคนิคในการทำงานร่วมกันระหว่างโพรเซส การบริหารหน่วยความจำขั้นสูง การจัดการกับระบบไฟล์ ความมั่นคงในการทำงานแบบไคลเอนต์เซิร์ฟเวอร์ โพรเซสแบบมัลติเธรด และเทคนิคต่าง ๆ ในการสื่อสารผ่านเครือข่าย,Programming for inter-process communication; synchronization techniques; advanced memory management; file system handling; client/server security; multi-threaded process; various network communication techniques
EN-013-318,การเขียนโปรแกรมบนระบบยูนิกซ์ขั้นสูง,3,3(2-2-5),วิชาชีพเลือก,กลุ่มวิชาโครงสร้างพื้นฐานและระบบเครือข่าย,ระบบปฏิบัติการยูนิกซ์และการเขียนโปรแกรมในระดับของระบบปฏิบัติการ ประกอบด้วยการเขียนโปรแกรมเซลล์ การใช้งานซิสเต็มคอลล์ ระบบไฟล์และไดเร็กทอรี การประมวลผลไฟล์ การสร้างโพรเซส การควบคุมโพรเซส การส่งสัญญาณ การติดต่อกับเทอร์มินอล การสร้างเดมอนโพรเซส และการติดต่อระหว่างโปรแกรม,"UNIX operating system with an emphasis on programming at the system level including shells and shell script programming; UNIX system calls; file and directory systems; file processing; UNIX process; process control; terminal I/O; daemon process, inter-process communication"
EN-013-319,หัวข้อพิเศษทางด้านโครงสร้างพื้นฐานและระบบเครือข่าย,3,3(3-0-6),วิชาชีพเลือก,กลุ่มวิชาโครงสร้างพื้นฐานและระบบเครือข่าย,การบรรยายและปฏิบัติการในหัวข้อปัจจุบันที่น่าสนใจในด้านโครงสร้างพื้นฐานและระบบเครือข่าย,Lectures and discussions on current topics of interest in infrastructure and network system
EN-013-320,การเรียนรู้ภาคปฏิบัติด้านโครงสร้างพื้นฐานและระบบเครือข่าย,3,3(0-40-0),วิชาชีพเลือก,กลุ่มวิชาโครงสร้างพื้นฐานและระบบเครือข่าย,การเรียนรู้ภาคปฏิบัติด้านโครงสร้างพื้นฐานและระบบเครือข่ายในสถานประกอบการโดยให้มีความรู้ หลักการและแนวคิดเกี่ยวกับวิศวกรรมคอมพิวเตอร์,Work-Based Learning in infrastructure and network system in the workplaces for having knowledge; principles and concepts about computer engineering
EN-013-321,ข้อมูลขนาดใหญ่,3,3(3-0-6),วิชาชีพเลือก,กลุ่มวิชาข้อมูลขนาดใหญ่และปัญญาประดิษฐ์,แนวคิดเกี่ยวกับหลักการข้อมูลขนาดใหญ่ เชิงนามธรรม การเก็บและโครงสร้างของข้อมูล การคิดคำนวณเกี่ยวกับการแยกส่วน การรู้จำรูปแบบและเชิงนามธรรม การแสดงข้อมูลและการวิเคราะห์ข้อมูลขนาดใหญ่ในระบบคลาวด์ การขับเคลื่อนปัญหาและออกแบบขั้นตอนวิธีสำหรับข้อมูลขนาดใหญ่ การใช้เครื่องมือสำหรับการวิเคราะห์,"Big data concepts including data abstraction, storage and structures; computational thinking which includes decomposition, pattern recognition and abstraction; cloud-based big data representation and analysis; data-driven problem and algorithm design for big data; using analytical tools"
EN-013-322,การทำเหมืองข้อมูล,3,3(3-0-6),วิชาชีพเลือก,กลุ่มวิชาข้อมูลขนาดใหญ่และปัญญาประดิษฐ์,แนวคิดและเทคนิคในการทำเหมืองข้อมูล ประสิทธิภาพและข้อดีข้อเสียของอัลกอริทึมต่างๆ ที่ใช้ในการทำเหมืองข้อมูล กระบวนการเตรียมข้อมูล การหารูปแบบที่เกิดขึ้นบ่อย การวิเคราะห์ ความสัมพันธ์ การหากฎความสัมพันธ์ การจำแนกประเภท การทำนาย การวิเคราะห์กลุ่ม โครงข่ายประสาทเทียม การทำเหมืองข้อมูลกับข้อมูลพิเศษ ข้อมูลสื่อผสม ข้อมูลเครือข่ายสังคม ข้อมูลเชิงพื้นที่การประยุกต์ใช้และทิศทางของการทำเหมืองข้อมูล คลังข้อมูล,"Data mining concepts and techniques; efficiency, pros and cons of data mining algorithms; data preprocessing; frequent pattern mining; association rules; classification; prediction; cluster analysis; neural network; mining special data: multimedia data, social network data, and spatial data; data mining applications and trends; data warehousing"
